algorithm,n_clusters,cluster_counts,clustered_file,plot_file,inertia,silhouette_score
kmeans,3,"{1: 373, 2: 363, 0: 264}",c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\20250628_201905_150d00d2_cleaned_20250628_201905_clustered.csv,c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\20250628_201905_150d00d2_cleaned_20250628_201905_clustered_kmeans_3.png,5109.008120424217,0.15877125999999958
kmeans,3,"{1: 349, 2: 340, 0: 311}",c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\cleaned_20250628_201905_150d00d2_clustered.csv,c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\cleaned_20250628_201905_150d00d2_clustered_kmeans_3.png,2417.9579112442184,0.22205739220782797
kmeans,3,"{1: 428, 0: 379, 2: 288}",c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\cleaned_20250701_022100_oil_production_synthetic_clustered.csv,c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\cleaned_20250701_022100_oil_production_synthetic_clustered_kmeans_3.png,3565.498167093732,0.18895692563948308
kmeans,3,"{1: 349, 2: 340, 0: 311}",c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\cleaned_20250701_022232_flowers_dataset_1000_clustered.csv,c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\cleaned_20250701_022232_flowers_dataset_1000_clustered_kmeans_3.png,2417.9579112442184,0.22205739220782797
kmeans,3,"{1: 428, 0: 379, 2: 288}",c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\cleaned_20250701_024450_oil_production_synthetic_clustered.csv,c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\cleaned_20250701_024450_oil_production_synthetic_clustered_kmeans_3.png,3565.498167093732,0.18895692563948308
kmeans,3,"{1: 349, 2: 340, 0: 311}",c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\cleaned_20250701_031843_flowers_dataset_1000_clustered.csv,c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\cleaned_20250701_031843_flowers_dataset_1000_clustered_kmeans_3.png,2417.9579112442184,0.22205739220782797
kmeans,3,"{1: 428, 0: 379, 2: 288}",c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\cleaned_oil_production_synthetic_clustered.csv,c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\cleaned_oil_production_synthetic_clustered_kmeans_3.png,3565.498167093732,0.18895692563948308
kmeans,3,"{1: 349, 2: 340, 0: 311}",c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\clean_data_clustered.csv,c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\clean_data_clustered_kmeans_3.png,2417.957911244218,0.22205739220782794
kmeans,3,"{0: 334, 2: 333, 1: 333}",c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\clean_data_encoded_clustered.csv,c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\clean_data_encoded_clustered_kmeans_3.png,3266.682357220579,0.20813191574601195
kmeans,3,"{1: 349, 2: 340, 0: 311}",c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\clean_data_filled_clustered.csv,c:\Users\PC\PycharmProjects\PythonProject10\data_intelligence_system\analysis\analysis_output\clustering\clean_data_filled_clustered_kmeans_3.png,2417.957911244218,0.22205739220782794
